Datum,Ponovljena,Opstina,Pocetna Cena,Procenjena Vrednost,%,Tip,Kategorija,Opis,Link
2025-03-06,False,Лесковац-град,77808.5,111155.0,70.0,Nepokretnosti,Парцела,"-	њива 7. класе, улица ,,Попов лаз“, површине 2021м2, на кп.бр.5348, уписане у Лист непокретности број  422 КО Граово",https://eaukcija.sud.rs/#/aukcije/124748
2025-03-06,False,Лесковац-град,77437.5,110625.0,70.0,Nepokretnosti,Шумско земљиште,"-	шума 4. клсае, улица ,,Попов лаз“, површине 1475м2, на кп.бр.5394, уписане у Лист непокретности број 422 КО Граово",https://eaukcija.sud.rs/#/aukcije/124749
2025-03-06,True,Сурдулица,1000.0,2000.0,50.0,Pokretnosti,Покретне ствари,Клуб сто дрвени,https://eaukcija.sud.rs/#/aukcije/124750
2025-03-06,True,Сурдулица,4000.0,8000.0,50.0,Pokretnosti,Покретне ствари,Двосед  на расклапање црвене боје,https://eaukcija.sud.rs/#/aukcije/124751
2025-03-06,True,Сурдулица,5000.0,10000.0,50.0,Pokretnosti,Покретне ствари,Лежај на расклапање,https://eaukcija.sud.rs/#/aukcije/124752
2025-03-06,True,Сурдулица,750.0,1500.0,50.0,Pokretnosti,Покретне ствари,Усисивач Конструкта,https://eaukcija.sud.rs/#/aukcije/124753
2025-03-06,True,Сурдулица,6000.0,12000.0,50.0,Pokretnosti,Покретне ствари,Трпезаријски сто са шест кожних столица,https://eaukcija.sud.rs/#/aukcije/124754
2025-03-06,True,Сурдулица,6000.0,12000.0,50.0,Pokretnosti,Покретне ствари,Трокрилни регал браон боје ,https://eaukcija.sud.rs/#/aukcije/124755
2025-03-06,False,Прешево,7000.0,10000.0,70.0,Pokretnosti,Покретне ствари,Електрични шпорет марке Алфа Плам,https://eaukcija.sud.rs/#/aukcije/124775
2025-03-06,False,Прешево,10500.0,15000.0,70.0,Pokretnosti,Покретне ствари,Кухиња са елементима ,https://eaukcija.sud.rs/#/aukcije/124776
2025-03-06,False,Прешево,21000.0,30000.0,70.0,Pokretnosti,Покретне ствари,Кревет тросед 3 комада,https://eaukcija.sud.rs/#/aukcije/124777
2025-03-06,False,Прешево,3500.0,5000.0,70.0,Pokretnosti,Покретне ствари,Два дрвена клуб стола,https://eaukcija.sud.rs/#/aukcije/124778
2025-03-06,False,Прешево,1400.0,2000.0,70.0,Pokretnosti,Покретне ствари,Комода за тв,https://eaukcija.sud.rs/#/aukcije/124779
2025-03-06,False,Прешево,10500.0,15000.0,70.0,Pokretnosti,Покретне ствари,Регал четворокрилни беле боје,https://eaukcija.sud.rs/#/aukcije/124780
2025-03-06,False,Прешево,3500.0,5000.0,70.0,Pokretnosti,Покретне ствари,Једнокрилни регал беле боје,https://eaukcija.sud.rs/#/aukcije/124781
2025-03-06,False,Прешево,21000.0,30000.0,70.0,Pokretnosti,Покретне ствари,Кревети комада 3,https://eaukcija.sud.rs/#/aukcije/124782
2025-03-06,False,Прешево,4200.0,6000.0,70.0,Pokretnosti,Покретне ствари,Трпезаријски сто  са шест столица,https://eaukcija.sud.rs/#/aukcije/124783
2025-03-06,False,Крагујевац - град,14000.0,20000.0,70.0,Pokretnosti,Покретне ствари,Машина за судове марке „Grand“,https://eaukcija.sud.rs/#/aukcije/124792
2025-03-06,False,Крагујевац - град,10500.0,15000.0,70.0,Pokretnosti,Покретне ствари,"Четворокрилни регал, браон иверица",https://eaukcija.sud.rs/#/aukcije/124793
2025-03-06,False,Крагујевац - град,10500.0,15000.0,70.0,Pokretnosti,Покретне ствари,Телевизор марке Fox,https://eaukcija.sud.rs/#/aukcije/124794
2025-03-06,False,Крагујевац - град,4900.0,7000.0,70.0,Pokretnosti,Покретне ствари,"Сточић за ТВ, браон са стакленим вратима",https://eaukcija.sud.rs/#/aukcije/124795
2025-03-06,False,Крагујевац - град,4900.0,7000.0,70.0,Pokretnosti,Покретне ствари,"Клуб сто, браон",https://eaukcija.sud.rs/#/aukcije/124796
2025-03-06,False,Нови Кнежевац,16800.0,24000.0,70.0,Pokretnosti,Остала покретна имовина,телевизор VOLT,https://eaukcija.sud.rs/#/aukcije/124802
2025-03-06,False,Нови Кнежевац,21000.0,30000.0,70.0,Pokretnosti,Остала покретна имовина,електрични камин са звучницима,https://eaukcija.sud.rs/#/aukcije/124803
2025-03-06,False,Нови Кнежевац,28000.0,40000.0,70.0,Pokretnosti,Остала покретна имовина,„инокс“ уградна рерна BEKO,https://eaukcija.sud.rs/#/aukcije/124804
2025-03-06,False,Нови Кнежевац,21000.0,30000.0,70.0,Pokretnosti,Остала покретна имовина,уградна кухињска плоча SIEMENS,https://eaukcija.sud.rs/#/aukcije/124805
2025-03-06,False,Нови Кнежевац,14000.0,20000.0,70.0,Pokretnosti,Остала покретна имовина,телевизор VIVAX,https://eaukcija.sud.rs/#/aukcije/124806
2025-03-06,False,Нови Кнежевац,7000.0,10000.0,70.0,Pokretnosti,Остала покретна имовина,веш машина BEKKO,https://eaukcija.sud.rs/#/aukcije/124807
2025-03-06,True,Мали Зворник,4000.0,8000.0,50.0,Pokretnosti,Остала покретна имовина,Столице ,https://eaukcija.sud.rs/#/aukcije/124820
2025-03-06,True,Мали Зворник,7500.0,15000.0,50.0,Pokretnosti,Остала покретна имовина,Комода,https://eaukcija.sud.rs/#/aukcije/124821
2025-03-06,True,Мали Зворник,5000.0,10000.0,50.0,Pokretnosti,Остала покретна имовина,Сто,https://eaukcija.sud.rs/#/aukcije/124822
2025-03-06,True,Мали Зворник,9000.0,18000.0,50.0,Pokretnosti,Остала покретна имовина,Бензинска моторна тестера стихл,https://eaukcija.sud.rs/#/aukcije/124823
2025-03-06,True,Мали Зворник,9000.0,18000.0,50.0,Pokretnosti,Остала покретна имовина,Веш Машина горење,https://eaukcija.sud.rs/#/aukcije/124824
2025-03-06,True,Мали Зворник,5000.0,10000.0,50.0,Pokretnosti,Остала покретна имовина,ТВ сет,https://eaukcija.sud.rs/#/aukcije/124825
2025-03-06,True,Мали Зворник,5000.0,10000.0,50.0,Pokretnosti,Остала покретна имовина,ЛЦД Телевизор ВОХ,https://eaukcija.sud.rs/#/aukcije/124826
2025-03-06,True,Мали Зворник,6000.0,12000.0,50.0,Pokretnosti,Остала покретна имовина,Бензински тример за траву стар,https://eaukcija.sud.rs/#/aukcije/124827
2025-03-06,False,Звездара,80500.0,115000.0,70.0,Pokretnosti,Покретне ствари,"ципеларник, кухиња, тросед, полица за телевизор, телевизор, орман, клима",https://eaukcija.sud.rs/#/aukcije/124838
2025-03-06,False,Медиана,7254659.76,10363799.66,70.0,Nepokretnosti,Непокретности,"Стан број 16. површине 48 м2 ( фактичким премером утврђене површине од 50,93 м2) који се налази у Нишу ул. Орловића Павла бр. 7/2  у стамбеној згради за колективно становање, број објекта 1, евиденцијски број 29, на катастарској парцели број 381 КО Ниш- Бубањ, уписан у лист непокретности 5177 КО Ниш- Бубањ, општина Медијана.",https://eaukcija.sud.rs/#/aukcije/124846
2025-03-06,True,Медиана,5000.0,10000.0,50.0,Pokretnosti,Намештај,Фотеља,https://eaukcija.sud.rs/#/aukcije/124881
2025-03-06,True,Медиана,12000.0,24000.0,50.0,Pokretnosti,Намештај,Трпезаријска столица,https://eaukcija.sud.rs/#/aukcije/124882
2025-03-06,True,Медиана,6000.0,12000.0,50.0,Pokretnosti,Намештај,Трпезаријски сто,https://eaukcija.sud.rs/#/aukcije/124883
2025-03-06,True,Медиана,5000.0,10000.0,50.0,Pokretnosti,Намештај,Барска столица (дрво),https://eaukcija.sud.rs/#/aukcije/124884
2025-03-06,True,Медиана,5000.0,10000.0,50.0,Pokretnosti,Намештај,Комода са 4 фиоке,https://eaukcija.sud.rs/#/aukcije/124885
2025-03-06,True,Медиана,15000.0,30000.0,50.0,Pokretnosti,Опрема,Кухиња са висећим делом и судопером,https://eaukcija.sud.rs/#/aukcije/124886
2025-03-06,True,Медиана,5000.0,10000.0,50.0,Pokretnosti,Електронска и рачунарска опрема или део,"Штампач ""DELL 5110""",https://eaukcija.sud.rs/#/aukcije/124887
2025-03-06,True,Медиана,20000.0,40000.0,50.0,Pokretnosti,Намештај,"Тросед, двосед и фотеља",https://eaukcija.sud.rs/#/aukcije/124888
2025-03-06,True,Медиана,12000.0,24000.0,50.0,Pokretnosti,Намештај,"Сталажа (дрво, браон боје)",https://eaukcija.sud.rs/#/aukcije/124889
2025-03-06,True,Уб,470000.0,940000.0,50.0,Pokretnosti,Покретне ствари,"Прикључно возило марке 0430 HMF (приколица за превоз дрвне масе), регистарских ознака АА873 LU ",https://eaukcija.sud.rs/#/aukcije/124917
2025-03-06,True,Лучани,15000.0,30000.0,50.0,Pokretnosti,Остала покретна имовина,"Лаптоп ""Lenovo"", пописна маркица 0802, количина: 1, процењене вредности 30.000,00 динара",https://eaukcija.sud.rs/#/aukcije/124931
2025-03-06,True,Лучани,18000.0,36000.0,50.0,Pokretnosti,Остала покретна имовина,"Телевизор ""Hisence"", пописна маркица 0803, количина: 1, процењене вредности 36.000,00 динара",https://eaukcija.sud.rs/#/aukcije/124932
2025-03-06,True,Лучани,2000.0,4000.0,50.0,Pokretnosti,Остала покретна имовина,"Комода за ТВ, пописна маркица 0804, количина: 1, процењене вредности 4.000,00 динара",https://eaukcija.sud.rs/#/aukcije/124933
2025-03-06,True,Лучани,14000.0,28000.0,50.0,Pokretnosti,Остала покретна имовина,"Веш машина ""Горење"", пописна маркица 0800, количина: 1, процењене вредности 28.000,00 динара",https://eaukcija.sud.rs/#/aukcije/124934
2025-03-06,False,Богатић,4849600.0,6928000.0,70.0,Nepokretnosti,Кућа,"-Катастарске парцеле број 10540 КО Богатић, земљиште у грађевинском подручју, у површини од 656 м2, 
-Објекта – објекат послових услуга, број објекта 1, у површини од 113м2, улица Јанка Веселиновића, објекат има одобрење за употребу, 
-Објекта – помоћна зграда, број објекта 4, у површини од 18м2, улица Јанка Веселиновића, објекат има одобрење за употребу, 
-Објекта – помоћна зграда, број објекта 5, у површини од 27м2, улица Јанка Веселиновића, објекат има одобрење за градњу нема за употребу, 
-Објекта – помоћна зграда, број објекта 6, у површини од 48м2, улица Јанка Веселиновића, објекат има одобрење за употребу, 
",https://eaukcija.sud.rs/#/aukcije/124969
2025-03-06,False,Врњачка Бања,133000.0,190000.0,70.0,Pokretnosti,Возило или део возила,"марке „ОPEL“ тип VECTRA, година производње 2001.год, регистарске ознаке VB022-HC, број шасије: W0L0JBF1911177274, запремина  1598 цм3, снага 74 KW, регистрован до: 22.09.2024.године, стање – половно",https://eaukcija.sud.rs/#/aukcije/124970
2025-03-06,True,Нови Сад - град,10000.0,20000.0,50.0,Pokretnosti,Покретне ствари,"Путничко моторно возило марке АЛФА РОМЕО , нерегистровано, технички неисправно",https://eaukcija.sud.rs/#/aukcije/125030
2025-03-06,True,Медиана,147500.0,295000.0,50.0,Pokretnosti,Путничко возило или део,"Путничко возило “ VOLKSWAGEN POLO 1,2”, рег.ознака: NI355-JM, бр. шасије: WVWZZZ9NZ2D053859",https://eaukcija.sud.rs/#/aukcije/125108
2025-03-06,False,Нови Кнежевац,21000.0,30000.0,70.0,Pokretnosti,Остала покретна имовина,"веш машина WHIRLPOOL, 7кг, А++, 1000 о/мин",https://eaukcija.sud.rs/#/aukcije/125194
2025-03-06,False,Нови Кнежевац,35000.0,50000.0,70.0,Pokretnosti,Остала покретна имовина,огревно дрво,https://eaukcija.sud.rs/#/aukcije/125195
2025-03-06,False,Нови Кнежевац,7000.0,10000.0,70.0,Pokretnosti,Остало возило или део,"бицикл, плаве боје",https://eaukcija.sud.rs/#/aukcije/125196
2025-03-06,False,Нови Кнежевац,14000.0,20000.0,70.0,Pokretnosti,Остала покретна имовина,лед телевизор VIVAX,https://eaukcija.sud.rs/#/aukcije/125197
2025-03-06,False,Шабац-град,5600.0,8000.0,70.0,Pokretnosti,Покретне ствари,BRAON IVERICA,https://eaukcija.sud.rs/#/aukcije/125220
2025-03-06,False,Шабац-град,14000.0,20000.0,70.0,Pokretnosti,Покретне ствари,SANDRUČAR,https://eaukcija.sud.rs/#/aukcije/125221
2025-03-06,False,Шабац-град,8400.0,12000.0,70.0,Pokretnosti,Покретне ствари,TOSHIBA,https://eaukcija.sud.rs/#/aukcije/125222
2025-03-06,False,Шабац-град,25200.0,36000.0,70.0,Pokretnosti,Покретне ствари,SA TRI KRILA,https://eaukcija.sud.rs/#/aukcije/125223
2025-03-06,False,Шабац-град,10500.0,15000.0,70.0,Pokretnosti,Покретне ствари,STO,https://eaukcija.sud.rs/#/aukcije/125224
2025-03-06,False,Шабац-град,7000.0,10000.0,70.0,Pokretnosti,Покретне ствари,ZA TRPEZARIJU,https://eaukcija.sud.rs/#/aukcije/125225
2025-03-06,False,Шабац-град,10500.0,15000.0,70.0,Pokretnosti,Покретне ствари,VOX,https://eaukcija.sud.rs/#/aukcije/125226
2025-03-06,False,Шабац-град,26600.0,38000.0,70.0,Pokretnosti,Покретне ствари,ŽUTE BOJE,https://eaukcija.sud.rs/#/aukcije/125227
2025-03-06,False,Шабац-град,14000.0,20000.0,70.0,Pokretnosti,Покретне ствари,VILAGER,https://eaukcija.sud.rs/#/aukcije/125228
2025-03-06,False,Шабац-град,11200.0,16000.0,70.0,Pokretnosti,Покретне ствари,MEŠALICA,https://eaukcija.sud.rs/#/aukcije/125229
2025-03-06,False,Шабац-град,17500.0,25000.0,70.0,Pokretnosti,Покретне ствари,TESTERA STIHL,https://eaukcija.sud.rs/#/aukcije/125230
2025-03-06,False,Шабац-град,10500.0,15000.0,70.0,Pokretnosti,Покретне ствари,AGM,https://eaukcija.sud.rs/#/aukcije/125231
2025-03-06,False,Шид,12250.0,17500.0,70.0,Pokretnosti,Домаће животиње,"ОВЦА МЕЛЕЗ 
СТАРОСТИ -4 ГОДИНЕ ",https://eaukcija.sud.rs/#/aukcije/125647
2025-03-06,False,Шид,12250.0,17500.0,70.0,Pokretnosti,Домаће животиње,"ОВЦЕ МЕЛЕЗИ  ПО КОМАДУ
СТАРОСТИ 3-4 ГОДИНЕ ",https://eaukcija.sud.rs/#/aukcije/125648
2025-03-06,False,Шид,12250.0,17500.0,70.0,Pokretnosti,Домаће животиње,"ОВЦЕ МЕЛЕЗИ ПО КОМАДУ 
СТАРОСТИ 3-4 ГОДИНЕ",https://eaukcija.sud.rs/#/aukcije/125649
2025-03-06,False,Шид,12250.0,17500.0,70.0,Pokretnosti,Домаће животиње,ОВЦЕ МЕЛЕЗИ -ПО КОМАДУ СТАРОСТИ 3-4 ГОДИНЕ,https://eaukcija.sud.rs/#/aukcije/125650
2025-03-06,False,Шид,12250.0,17500.0,70.0,Pokretnosti,Домаће животиње,ОВЦА МЕЛЕЗ СТАРОСТ 3-4 ГОДИНЕ,https://eaukcija.sud.rs/#/aukcije/125651
2025-03-06,False,Шид,12250.0,17500.0,70.0,Pokretnosti,Домаће животиње,ОВЦЕ МЕЛЕЗИ СТАРОСТИ 3-4 ГОДИНЕ ,https://eaukcija.sud.rs/#/aukcije/125652
2025-03-06,False,Шид,12250.0,17500.0,70.0,Pokretnosti,Домаће животиње,ОВЦЕ МЕЛЕЗИ -СТАРОСТИ 3-4 ГОДИНЕ,https://eaukcija.sud.rs/#/aukcije/125653
2025-03-06,False,Шид,12250.0,17500.0,70.0,Pokretnosti,Домаће животиње,ОВЦЕ МЕЛЕЗИ-СТАРОСТИ 3-4 ГОДИНЕ ,https://eaukcija.sud.rs/#/aukcije/125654
2025-03-06,False,Шид,12250.0,17500.0,70.0,Pokretnosti,Домаће животиње,ОВЦЕ МЕЛЕЗИ ПО КОМАДУ  -СТАРОСТИ 3-4 ГОДИНЕ ,https://eaukcija.sud.rs/#/aukcije/125655
2025-03-06,False,Шид,12250.0,17500.0,70.0,Pokretnosti,Домаће животиње,"ОВЦЕ -МЕЛЕЗИ 
 ПО КОМАДУ 
СТАРОСТИ 3-4 ГОДИНЕ ",https://eaukcija.sud.rs/#/aukcije/125656
2025-03-06,False,Шид,12250.0,17500.0,70.0,Pokretnosti,Домаће животиње,"ОВЦЕ МЕЛЕЗИ
 по комаду  
 -СТАРОСТИ 3-4 ГОДИНЕ ",https://eaukcija.sud.rs/#/aukcije/125657
2025-03-06,False,Шид,12250.0,17500.0,70.0,Pokretnosti,Домаће животиње,"ОВЦЕ МЕЛЕЗИ
 ПО КОМАДУ 
-СТАРОСТИ 3-4 ГОДИНЕ ЕРДЕВИК",https://eaukcija.sud.rs/#/aukcije/125658
2025-03-06,False,Шид,21000.0,30000.0,70.0,Pokretnosti,Домаће животиње,ГРАБЉЕ  -САКУПЉАЧ СЕНА СУНЦЕ ИМТ,https://eaukcija.sud.rs/#/aukcije/125659
2025-03-07,True,Деспотовац,325000.0,650000.0,50.0,Pokretnosti,Покретне ствари,"Путничко возило, PEUGEOT 208, регистарских ознака DE016-JT, број шасије VF3CC8HR0ET100923, број мотора 8H0110FDCGPSA0675260, ОМ BELA, 2014. годиште, дизел, датум важења регистрације возила: 23.01.2024 ",https://eaukcija.sud.rs/#/aukcije/124172
2025-03-07,True,Ваљево-град,204945.47,409890.95,50.0,Pokretnosti,Покретне ствари,"PUTNIČKO VOZILO Марка возила (Д.1): VOLKSWAGEН Тип, варијанта, верзија (Д.2): PASSAT",https://eaukcija.sud.rs/#/aukcije/124651
2025-03-07,False,Крагујевац - град,8400.0,12000.0,70.0,Pokretnosti,Покретне ствари,марке „PHILIPS“,https://eaukcija.sud.rs/#/aukcije/124766
2025-03-07,False,Крагујевац - град,1400.0,2000.0,70.0,Pokretnosti,Покретне ствари,беле боје,https://eaukcija.sud.rs/#/aukcije/124767
2025-03-07,False,Крагујевац - град,10500.0,15000.0,70.0,Pokretnosti,Покретне ствари,марке „VOX“,https://eaukcija.sud.rs/#/aukcije/124768
2025-03-07,False,Крагујевац - град,8400.0,12000.0,70.0,Pokretnosti,Покретне ствари,марке „KONČAR“,https://eaukcija.sud.rs/#/aukcije/124769
2025-03-07,False,Крагујевац - град,3500.0,5000.0,70.0,Pokretnosti,Покретне ствари,браон боје,https://eaukcija.sud.rs/#/aukcije/124770
2025-03-07,False,Крагујевац - град,4200.0,6000.0,70.0,Pokretnosti,Покретне ствари,браон боје са меблом,https://eaukcija.sud.rs/#/aukcije/124771
2025-03-07,False,Крагујевац - град,8400.0,12000.0,70.0,Pokretnosti,Покретне ствари,марке „BEKO“,https://eaukcija.sud.rs/#/aukcije/124772
2025-03-07,False,Крагујевац - град,2100.0,3000.0,70.0,Pokretnosti,Покретне ствари,марке „BEKO“,https://eaukcija.sud.rs/#/aukcije/124774
2025-03-07,True,Лозница-град,15000.0,30000.0,50.0,Pokretnosti,Намештај,Гардеробер беле боје,https://eaukcija.sud.rs/#/aukcije/124810
2025-03-07,True,Лозница-град,10000.0,20000.0,50.0,Pokretnosti,Намештај,"Трпезаријски сто, процењене вредности у износу од 20.000,00 динара,",https://eaukcija.sud.rs/#/aukcije/124811
2025-03-07,True,Лозница-град,12000.0,24000.0,50.0,Pokretnosti,Намештај,Угаона гарнитура,https://eaukcija.sud.rs/#/aukcije/124812
2025-03-07,True,Лозница-град,7500.0,15000.0,50.0,Pokretnosti,Електронска и рачунарска опрема или део,Телевизор LCD Samsung,https://eaukcija.sud.rs/#/aukcije/124813
2025-03-07,True,Лозница-град,10000.0,20000.0,50.0,Pokretnosti,Намештај,Трокрилни ормар браон боје,https://eaukcija.sud.rs/#/aukcije/124814
2025-03-07,True,Лозница-град,10000.0,20000.0,50.0,Pokretnosti,Електронска и рачунарска опрема или део,Машина за сушење веша Samsung,https://eaukcija.sud.rs/#/aukcije/124815
2025-03-07,True,Лозница-град,10000.0,20000.0,50.0,Pokretnosti,Покретне ствари,Машина за прање веша Samsung,https://eaukcija.sud.rs/#/aukcije/124816
2025-03-07,True,Лозница-град,7500.0,15000.0,50.0,Pokretnosti,Електронска и рачунарска опрема или део,Телевизор LCD Samsung,https://eaukcija.sud.rs/#/aukcije/124817
2025-03-07,True,Лозница-град,6000.0,12000.0,50.0,Pokretnosti,Намештај,"Трпезаријске столице, 6 комада",https://eaukcija.sud.rs/#/aukcije/124818
2025-03-07,True,Лозница-град,9000.0,18000.0,50.0,Pokretnosti,Индустријска опрема или део,Комода,https://eaukcija.sud.rs/#/aukcije/124819
2025-03-07,True,Трстеник,20000.0,40000.0,50.0,Pokretnosti,Угоститељска опрема или део,ближе описано у закључку,https://eaukcija.sud.rs/#/aukcije/124829
2025-03-07,True,Трстеник,10000.0,20000.0,50.0,Pokretnosti,Угоститељска опрема или део,ближе описано у закључку,https://eaukcija.sud.rs/#/aukcije/124830
2025-03-07,True,Трстеник,10000.0,20000.0,50.0,Pokretnosti,Електронска и рачунарска опрема или део,ближе описано у закључку,https://eaukcija.sud.rs/#/aukcije/124831
2025-03-07,True,Трстеник,10000.0,20000.0,50.0,Pokretnosti,Остала покретна имовина,ближе описано у закључку,https://eaukcija.sud.rs/#/aukcije/124832
